mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.052811384201049805,0.005397181597342217,0.001949628194173177,0.00014330871670568574,1.0,5.0,1.0,300,3,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.08825008074442546,0.012123133571156105,0.002037525177001953,0.00017289747576862023,1.0,2.0,1.0,500,2,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.027576526006062824,0.007396052940312501,0.001714468002319336,5.046632970855138e-05,0.7,1.0,0.1,100,2,0.2,0.6,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.2, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006178053685272002,-0.014245491942745598,-0.0113713406786008,0.003679192203670121,59,-0.007986111310310684,-0.004645795318129902,-0.0037098283092994087,-0.005447244979246664,0.00183546365544016
0.15762964884440103,0.029580410977768635,0.0020112196604410806,0.0001058715113662345,0.7,0.5,0.5,700,6,0.01,1.0,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.09417581558227539,0.025213650710409274,0.002146164576212565,0.000353489205081802,1.0,2.0,0.0,300,2,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.037682236011286965,-0.02036580295340777,-0.01573598486734444,-0.024594674610679726,0.009445351641186902,64,-0.00013514908526609157,-0.00043772759912828166,-0.00044728108797437665,-0.0003400525907895833,0.00014494114258126715
0.10758860905965169,0.016098250714663025,0.0019066333770751953,7.900425722835914e-05,0.8,2.0,1.0,500,3,0.05,1.0,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.1364868481953939,0.020925297622818754,0.0024247169494628906,0.0002277690772539539,0.7,5.0,1.0,700,6,0.1,0.6,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.038963635762532554,0.016094974752362632,0.001806497573852539,5.281065709671377e-05,0.9,2.0,0.1,100,4,0.01,0.8,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.0060065363578143405,-0.010466302205376069,-0.010054438323658403,0.003150445213583064,1,-0.007986111310310684,-0.006992450205402258,-0.005256568418223077,-0.006745043311312007,0.0011279801205012533
0.023949861526489258,0.003360368805854524,0.0018325646718343098,0.00016749979398013388,0.9,5.0,1.0,100,6,0.03,1.0,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.06366459528605144,0.010767106964709994,0.0018259684244791667,8.37319653331411e-05,1.0,5.0,1.0,300,4,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.05443962415059408,0.005263029769348723,0.002262115478515625,0.0003174429153233287,1.0,2.0,1.0,300,5,0.03,0.6,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.05676841735839844,0.0026258181546746128,0.0027670065561930337,0.0008268564016429053,0.8,5.0,1.0,300,2,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.10729479789733887,0.010246311347401088,0.0021212100982666016,0.00012834997245354446,0.9,5.0,0.5,500,6,0.03,1.0,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
