Date,Price,Open,High,Low,Vol.,Change %
10/1/2015,4.3682,4.163,4.5565,4.0806,,4.94%
9/1/2015,4.1624,3.7502,4.5738,3.5005,,11.07%
8/1/2015,3.7476,3.0358,3.8612,2.8525,,23.11%
7/1/2015,3.0442,3.367,3.377,3.0411,,-9.57%
6/1/2015,3.3665,3.5531,3.5666,3.2497,,-5.08%
5/1/2015,3.5465,3.5991,3.8074,3.4921,,-1.31%
4/1/2015,3.5935,3.1885,3.7724,3.1728,,12.60%
3/1/2015,3.1913,3.0076,3.3086,2.9385,,6.72%
2/1/2015,2.9903,2.6526,3.0956,2.6122,,12.52%
1/1/2015,2.6576,3.1503,3.1602,2.5655,,-15.58%
12/1/2014,3.1482,3.5672,3.587,2.2959,,-12.61%
11/1/2014,3.6023,4.2116,4.2131,3.6009,,-14.40%
10/1/2014,4.2081,4.5949,4.6224,4.1463,,-8.36%
9/1/2014,4.5921,4.911,4.9653,4.5716,,-6.50%
8/1/2014,4.9113,5.1316,5.1346,4.8924,,-4.30%
7/1/2014,5.1323,5.3996,5.4344,5.1032,,-4.82%
6/1/2014,5.3921,5.256,5.4709,5.2033,,2.72%
5/1/2014,5.2492,5.1096,5.4011,5.0693,,2.79%
4/1/2014,5.1066,5.1952,5.2136,5.0063,,-1.56%
3/1/2014,5.1873,5.1137,5.1961,4.9548,,1.43%
2/1/2014,5.1144,4.4217,5.3938,4.3762,,15.76%
1/1/2014,4.4182,4.6979,4.6986,4.3856,,-5.79%
12/1/2013,4.69,4.6545,4.7452,4.6379,,0.84%
11/1/2013,4.651,4.8036,4.8109,4.6175,,-3.22%
10/1/2013,4.8057,4.7497,4.8616,4.7416,,1.26%
9/1/2013,4.7459,4.6065,4.8532,4.5684,,3.07%
8/1/2013,4.6045,4.6639,4.6943,4.5785,,-1.14%
7/1/2013,4.6577,4.623,4.7528,4.5582,,0.78%
6/1/2013,4.6216,4.7371,4.8064,4.5763,,-2.52%
5/1/2013,4.7411,4.86,4.8797,4.7221,,-2.42%
4/1/2013,4.8587,4.8569,4.9063,4.732,,0.08%
3/1/2013,4.8548,4.9082,4.9292,4.8456,,-1.07%
2/1/2013,4.9073,5.0245,5.0932,4.8992,,-2.31%
1/1/2013,5.0232,4.9231,5.0347,4.9183,,2.12%
12/1/2012,4.9188,4.8796,4.9748,4.8437,,0.84%
11/1/2012,4.8777,4.8096,4.8908,4.7295,,1.41%
10/1/2012,4.81,4.8066,4.9107,4.7726,,0.10%
9/1/2012,4.8051,4.6371,4.9359,4.5959,,3.62%
8/1/2012,4.6371,4.6555,4.7701,4.5813,,-0.37%
7/1/2012,4.6544,4.6103,4.7046,4.5253,,0.90%
6/1/2012,4.6127,4.4305,4.6466,4.3578,,4.19%
5/1/2012,4.4273,5.0321,5.0526,4.3999,,-11.95%
4/1/2012,5.028,5.0247,5.0804,4.9458,,-0.31%
3/1/2012,5.0438,5.0773,5.1178,4.9685,,-0.66%
2/1/2012,5.0773,4.9034,5.1189,4.8795,,3.56%
1/1/2012,4.9029,4.61,4.9474,4.6065,,6.39%
12/1/2011,4.6086,4.8041,4.8155,4.5878,,-4.08%
11/1/2011,4.8045,4.8903,4.9213,4.6476,,-1.82%
10/1/2011,4.8936,4.5965,4.9849,4.5043,,6.43%
9/1/2011,4.5981,5.0807,5.0876,4.5435,,-9.53%
8/1/2011,5.0825,5.2978,5.3204,4.8705,,-4.01%
7/1/2011,5.2946,5.2295,5.3211,5.1365,,1.39%
6/1/2011,5.2219,5.1968,5.2628,5.1473,,0.48%
5/1/2011,5.1967,5.323,5.3682,5.0891,,-2.26%
4/1/2011,5.3169,5.1194,5.3547,5.1032,,3.95%
3/1/2011,5.1148,5.0548,5.1891,5.0328,,1.20%
2/1/2011,5.0544,4.927,5.072,4.9297,,2.56%
1/1/2011,4.9282,4.8131,4.9785,4.779,,2.29%
12/1/2010,4.8179,4.6806,4.8823,4.6748,,2.95%
11/1/2010,4.68,4.7884,4.8418,4.6771,,-2.13%
10/1/2010,4.7821,4.8265,4.9883,4.7744,,-0.92%
9/1/2010,4.8264,4.7784,4.8591,4.6965,,1.08%
8/1/2010,4.775,4.8804,4.9719,4.7509,,-2.13%
7/1/2010,4.8788,4.7121,4.9092,4.6935,,3.54%
6/1/2010,4.7119,4.7479,4.767,4.7041,,-0.81%
5/1/2010,4.7503,5.0185,5.0187,4.6329,,-5.19%
4/1/2010,5.0102,4.9947,5.0785,4.9783,,0.33%
3/1/2010,4.9937,4.9179,5.0486,4.901,,1.47%
2/1/2010,4.9215,4.8739,4.961,4.8185,,0.97%
1/1/2010,4.8741,4.8989,5.0587,4.8542,,-0.52%
12/1/2009,4.8994,5.0858,5.1262,4.8095,,-3.67%
11/1/2009,5.0862,5.169,5.2664,4.9679,,-1.63%
10/1/2009,5.1704,5.0287,5.2474,4.9828,,2.87%
9/1/2009,5.0262,4.7419,5.0637,4.6932,,6.01%
8/1/2009,4.7413,4.8039,4.8776,4.5822,,-1.05%
7/1/2009,4.7914,4.8274,4.9258,4.5316,,-0.74%
